#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=SCEDC,http://scedc.caltech.edu/
CI|CCC|35.52495|-117.36453|670.0|Christmas Canyon China Lake|2001-06-22T00:00:00|3000-01-01T00:00:00
CI|CLC|35.81574|-117.59751|775.0|China Lake|1948-07-08T00:00:00|3000-01-01T00:00:00
CI|DAW|36.27148|-117.59214|1477.4|Darwin|2017-02-27T00:00:00|3000-01-01T00:00:00
CI|JRC2|35.98249|-117.80885|1469.0|Joshua Ridge: China Lake|2004-01-15T00:00:00|3000-01-01T00:00:00
CI|LRL|35.47954|-117.68212|1340.0|Laurel Mtn|1992-07-29T00:00:00|3000-01-01T00:00:00
CI|MPM|36.05799|-117.48901|1839.0|Manuel Prospect Mine|1998-06-25T00:00:00|3000-01-01T00:00:00
CI|SLA|35.89095|-117.28332|1174.0|Slate Mountain|1999-03-09T00:00:00|3000-01-01T00:00:00
CI|SRT|35.69235|-117.75051|667.0|Snort|1982-07-31T00:00:00|3000-01-01T00:00:00
CI|TOW2|35.80856|-117.76488|685.0|Tower 2|2014-07-10T00:00:00|3000-01-01T00:00:00
CI|WBM|35.60839|-117.89049|892.0|Bowman Road|1979-09-26T00:00:00|3000-01-01T00:00:00
CI|WCS2|36.02521|-117.76526|1143.0|Coso Hot Springs 2|2014-07-14T00:00:00|3000-01-01T00:00:00
CI|WMF|36.11758|-117.85486|1537.4|Mccloud Flat|2016-07-13T20:00:00|3000-01-01T00:00:00
CI|WNM|35.8422|-117.90616|974.3|Nine Mile Canyon|1975-09-25T00:00:00|3000-01-01T00:00:00
CI|WRC2|35.9479|-117.65038|943.0|Renegade Canyon|2014-07-09T00:00:00|3000-01-01T00:00:00
CI|WRV2|36.00774|-117.8904|1070.0|Rose Valley Canyon 2|2014-07-10T00:00:00|3000-01-01T00:00:00
CI|WVP2|35.94939|-117.81769|1465.0|Volcano Peak 2|2014-07-11T00:00:00|3000-01-01T00:00:00
